ATV_Involved (group),Agency,Agency_Name,Display Sheet,Road_Type,Land_Use,Hour_STR,Latitude_adj,Longitude_adj,View_Dashboard,YTD_0,YTD_1,YTD_2,SUM([Injury]+[Fatality]),Item,SortBy,GIS,Parent,Crash_Desc,Route_adj,tip,Show_on_Map,Collision_Time_adj,Collision_Date_Tooltip,Tooltip_DriverAge,Collision_DOW,Tooltip_DriverFactor,Tooltip_Vehicle,Tooltip_NM,FixTotalRecs,City,Collision_Date,County,Crash_Type (group),Crash_Type,Distracted_Driver (group),Driver_Drinking (group),Driver_Drugged (group),Drowsy_Driver (group),Fatality,First_Harmfu_Event (group),Injury,LargeTruck_Involved (group),Latitude,Light_Condition (group),Longitude,MRN,Motorcycle_Involved (group),Number of Records,Other_Nonmotorist,Pedalcyclist,Pedestrian,SchoolBus,Senior (65-99) (group),Speeding_Involved (group),THPInv,THP_District,Teen (13-19) (group),Unbelted (group),Weather (group)
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Rural,16,36.12325,-84.14277,View Dashboard,1,0,0,1,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-9,?,1,16:12,"Thursday, April 25, 2019 @ 16:12",Teen (13-19),Thursday,Distracted Driver,None,None,1, Not in a City,4/25/2019 4:12:00 PM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Null & -,0,Standing Tree,1,Null & -,36.12325,Daylight,-84.14277,102371947,Null & -,1,-,-,-,-,Null & -,Null & -,THP,1-Knoxville,Teen Driver (13-19),Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,Other,Rural,17,36.15911,-84.14835,View Dashboard,1,0,0,2,Ditch,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),DUNCAN RD,?,1,17:18,"Saturday, May 4, 2019 @ 17:18",Teen (13-19),Saturday,"Driver Used Drug, Unbelted Occupant",None,None,1, Not in a City,5/4/2019 5:18:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Driver has used Drugs,Null & -,0,Ditch,2,Null & -,36.15911,Daylight,-84.14835,102382205,Null & -,1,-,-,-,-,Null & -,Null & -,THP,1-Knoxville,Teen Driver (13-19),Unbelted Occupant,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban, 5,35.99714,-84.30562,View Dashboard,1,0,0,1,Curb,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-95,?,1, 5:47,"Saturday, October 5, 2019 @  5:47",Teen (13-19),Saturday,"Driver Used Drug, Speeding, Unbelted Occupant",None,None,1,Oak Ridge,10/5/2019 5:47:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Driver has used Drugs,Null & -,0,Curb,1,Null & -,35.99714,Dark-Unknown Lighting,-84.30562,102529931,Null & -,1,-,-,-,-,Null & -,Speeding Driver,Other,1-Knoxville,Teen Driver (13-19),Unbelted Occupant,Clear
Null & -,NORRIS POLICE DEPT,NORRIS POLICE DEPT,1,Other,Urban,17,36.2214,-84.08598,View Dashboard,1,0,0,1,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),NORRIS FWY ,?,1,17:56,"Tuesday, November 19, 2019 @ 17:56",Teen (13-19),Tuesday,Distracted Driver,None,None,1,Norris,11/19/2019 5:56:00 PM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Null & -,0,Standing Tree,1,Null & -,36.2214,Dark-Not Lighted,-84.08598,102577941,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Teen Driver (13-19),Null & -,Rain
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban, 5,36.03429,-84.24898,View Dashboard,1,0,0,2,Utility Pole,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),OUTER DR,?,1, 5:33,"Sunday, April 7, 2019 @  5:33",Teen (13-19),Sunday,"Distracted Driver, Driver Used Drug, Unbelted Occupant",None,None,1,Oak Ridge,4/7/2019 5:33:00 AM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Driver has used Drugs,Null & -,0,Utility Pole,2,Null & -,36.03429,Dark-Lighted,-84.24898,102357096,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Teen Driver (13-19),Unbelted Occupant,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban,17,35.99697,-84.19171,View Dashboard,1,0,0,3,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (3 injury/ies), SR-170,?,1,17:07,"Wednesday, October 9, 2019 @ 17:07",Senior (65-99),Wednesday,"Driver Used Drug, Unbelted Occupant",None,None,1,Oak Ridge,10/9/2019 5:07:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Driver has used Drugs,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,3,Null & -,35.99697,Daylight,-84.19171,102539053,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Urban,12,35.99067,-84.20528,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-62,?,1,12:45,"Tuesday, April 30, 2019 @ 12:45",Senior (65-99),Tuesday,Drowsy Driver,None,None,1,Oak Ridge,4/30/2019 12:45:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Drowsy Driver,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,35.99067,Daylight,-84.20528,102381149,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,1-Knoxville,Null & -,Null & -,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,18,36.03824,-84.21694,View Dashboard,1,0,0,1,Ditch,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),BELGRADE RD,?,1,18:08,"Tuesday, October 22, 2019 @ 18:08",Senior (65-99),Tuesday,Unbelted Occupant,Motorcycle,None,1,Oak Ridge,10/22/2019 6:08:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Ditch,1,Null & -,36.03824,Daylight,-84.21694,102546149,Motorcyclist Involved,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,CLINTON POLICE DEPT,CLINTON POLICE DEPT,1,State Road,Urban,14,36.11152,-84.12362,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-61,?,1,14:02,"Tuesday, April 2, 2019 @ 14:02",Senior (65-99),Tuesday,None,Large Truck,None,1,Clinton,4/2/2019 2:02:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Large Truck Involved,36.11152,Daylight,-84.12362,102352239,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,12,36.00711,-84.25115,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),RUTGERS AVE,?,1,12:48,"Sunday, October 20, 2019 @ 12:48",Senior (65-99),Sunday,None,None,None,1,Oak Ridge,10/20/2019 12:48:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,36.00711,Daylight,-84.25115,102543512,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Null & -,Cloudy
