age,optimal_bmi
18,24.45
19,24.45
20,24.45
21,24.45
22,24.45
23,24.45
24,24.45
25,24.45
26,24.45
27,24.45
28,24.45
29,24.45
30,24.45
31,24.45
32,24.45
33,24.45
34,24.45
35,24.95
36,24.95
37,24.95
38,24.95
39,24.95
40,24.95
41,24.95
42,24.95
43,24.95
44,24.95
45,25.95
46,25.95
47,25.95
48,25.95
49,25.95
50,25.95
51,25.95
52,25.95
53,25.95
54,25.95
55,26.45
56,26.45
57,26.45
58,26.45
59,26.45
60,26.45
61,26.45
62,26.45
63,26.45
64,26.45
65,26.95
66,26.95
67,26.95
68,26.95
69,26.95
70,26.95
71,26.95
72,26.95
73,26.95
74,26.95
75,28.95
76,28.95
77,28.95
78,28.95
79,28.95
80,28.95
81,28.95
82,28.95
83,28.95
84,28.95
85,28.95
86,28.95
87,28.95
88,28.95
89,28.95
90,28.95
91,28.95
92,28.95
93,28.95
94,28.95
95,28.95
96,28.95
97,28.95
98,28.95
99,28.95
