name,total_students,econ_disadv,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,pct_econ_disadv
A. Z. Kelley Elementary,852,261,2.0,2.0,4.0,,,3.0,30.633802816901408
Alex Green Elementary,234,153,2.0,2.0,4.0,,,2.0,65.38461538461539
Amqui Elementary,458,246,2.0,4.0,4.0,,,4.0,53.7117903930131
Andrew Jackson Elementary,496,122,3.0,4.0,4.0,,,2.0,24.596774193548388
Antioch High School,1915,622,1.0,0.0,4.0,2.0,3.0,0.0,32.48041775456919
Antioch Middle,820,391,1.0,2.0,4.0,,,2.0,47.68292682926829
Apollo Middle,835,340,0.0,0.0,2.0,,,1.0,40.7185628742515
Bellevue Middle,631,211,2.0,0.0,2.0,,,1.0,33.43898573692552
Bellshire Elementary,342,232,2.0,3.0,2.0,,,3.0,67.83625730994152
Buena Vista Elementary,199,174,2.0,2.0,4.0,,,,87.43718592964824
Cane Ridge Elementary,609,265,3.0,4.0,4.0,,,4.0,43.51395730706076
Cane Ridge High School,1858,635,1.0,0.0,3.0,2.0,2.0,0.0,34.17653390742734
Carter-Lawrence Elementary,263,159,2.0,2.0,4.0,,,1.0,60.45627376425855
Chadwell Elementary,323,185,2.0,2.0,4.0,,,3.0,57.27554179566563
Charlotte Park Elementary,513,214,2.0,2.0,2.0,,,4.0,41.71539961013645
Cockrill Elementary,319,196,1.0,3.0,4.0,,,1.0,61.442006269592476
Cole Elementary,761,332,2.0,2.0,4.0,,,4.0,43.62680683311432
Cora Howe School,92,46,1.0,2.0,2.0,,,,50.0
Crieve Hall Elementary,465,68,4.0,3.0,4.0,,,4.0,14.623655913978496
Croft Middle,750,262,1.0,0.0,1.0,,,1.0,34.93333333333333
Cumberland Elementary,278,212,1.0,4.0,4.0,,,,76.2589928057554
Dan Mills Elementary,566,105,4.0,4.0,3.0,,,3.0,18.551236749116608
Dodson Elementary,393,219,1.0,2.0,4.0,,,3.0,55.72519083969466
Donelson Middle,775,369,1.0,4.0,3.0,,,1.0,47.612903225806456
Eakin Elementary,543,92,4.0,4.0,4.0,,,4.0,16.94290976058932
East End Preparatory School,899,413,3.0,0.0,4.0,,,3.0,45.93993325917686
East Nashville Middle,316,178,1.0,0.0,1.0,,,,56.32911392405063
Explore Community School,430,201,,,1.0,,,,46.74418604651163
Fall-Hamilton Elementary,312,170,1.0,0.0,4.0,,,2.0,54.48717948717948
Gateway Elementary,202,109,2.0,4.0,2.0,,,4.0,53.960396039603964
Glencliff Elementary,597,200,1.0,4.0,4.0,,,2.0,33.50083752093803
Glencliff High School,1167,439,1.0,0.0,3.0,2.0,3.0,1.0,37.617823479006
Glendale Elementary,442,11,4.0,4.0,4.0,,,,2.48868778280543
Glengarry Elementary,407,191,2.0,3.0,4.0,,,3.0,46.928746928746925
Glenview Elementary,636,281,2.0,3.0,2.0,,,4.0,44.18238993710692
Goodlettsville Elementary,354,135,2.0,2.0,4.0,,,3.0,38.13559322033898
Goodlettsville Middle,598,271,1.0,0.0,3.0,,,4.0,45.31772575250836
Gower Elementary,608,160,3.0,4.0,2.0,,,3.0,26.31578947368421
