Vaccination Date,Zip,Dose Count,Count
12/12/2020,37215,1,1
12/14/2020,37215,1,1
12/15/2020,37221,1,1
12/16/2020,37215,1,1
12/17/2020,,1,1
12/17/2020,37013,1,16
12/17/2020,37072,1,8
12/17/2020,37076,1,5
12/17/2020,37080,1,2
12/17/2020,37115,1,1
12/17/2020,37138,1,3
12/17/2020,37189,1,2
12/17/2020,37203,1,36
12/17/2020,37204,1,26
12/17/2020,37205,1,54
12/17/2020,37206,1,23
12/17/2020,37207,1,8
12/17/2020,37208,1,12
12/17/2020,37209,1,48
12/17/2020,37210,1,2
12/17/2020,37211,1,14
12/17/2020,37212,1,13
12/17/2020,37214,1,8
12/17/2020,37215,1,55
12/17/2020,37216,1,14
12/17/2020,37217,1,5
12/17/2020,37219,1,3
12/17/2020,37220,1,12
12/17/2020,37221,1,34
12/18/2020,,1,7
12/18/2020,37013,1,50
12/18/2020,37072,1,31
12/18/2020,37072,2,1
12/18/2020,37076,1,54
12/18/2020,37080,1,4
12/18/2020,37115,1,23
12/18/2020,37138,1,22
12/18/2020,37138,2,1
12/18/2020,37189,1,4
12/18/2020,37201,1,3
12/18/2020,37203,1,177
12/18/2020,37204,1,87
12/18/2020,37204,2,1
12/18/2020,37205,1,252
12/18/2020,37206,1,60
12/18/2020,37207,1,42
12/18/2020,37208,1,59
12/18/2020,37209,1,190
12/18/2020,37210,1,12
12/18/2020,37211,1,74
12/18/2020,37212,1,121
12/18/2020,37212,2,1
12/18/2020,37213,1,1
12/18/2020,37214,1,34
12/18/2020,37215,1,171
12/18/2020,37215,2,1
12/18/2020,37216,1,30
12/18/2020,37217,1,8
12/18/2020,37218,1,13
12/18/2020,37219,1,3
12/18/2020,37220,1,25
12/18/2020,37221,1,136
12/18/2020,37228,1,2
12/19/2020,,1,5
12/19/2020,37013,1,60
12/19/2020,37072,1,37
12/19/2020,37076,1,55
12/19/2020,37076,2,1
12/19/2020,37080,1,7
12/19/2020,37115,1,17
12/19/2020,37138,1,23
12/19/2020,37189,1,10
12/19/2020,37201,1,3
12/19/2020,37203,1,146
12/19/2020,37203,2,2
12/19/2020,37204,1,96
12/19/2020,37204,2,4
12/19/2020,37205,1,279
12/19/2020,37205,2,4
12/19/2020,37206,1,49
12/19/2020,37206,2,2
12/19/2020,37207,1,36
12/19/2020,37208,1,60
12/19/2020,37208,2,1
12/19/2020,37209,1,159
12/19/2020,37209,2,7
12/19/2020,37210,1,15
12/19/2020,37211,1,87
12/19/2020,37211,2,2
12/19/2020,37212,1,111
12/19/2020,37214,1,32
12/19/2020,37214,2,1
12/19/2020,37215,1,162
12/19/2020,37215,2,5
12/19/2020,37216,1,30
12/19/2020,37217,1,18
12/19/2020,37218,1,9
12/19/2020,37219,1,6
12/19/2020,37220,1,32
12/19/2020,37220,2,2
12/19/2020,37221,1,143
12/19/2020,37221,2,2
12/19/2020,37228,1,4
12/20/2020,,1,3
12/20/2020,37013,1,33
12/20/2020,37072,1,15
12/20/2020,37076,1,26
12/20/2020,37076,2,1
12/20/2020,37080,1,3
12/20/2020,37115,1,12
12/20/2020,37138,1,10
12/20/2020,37189,1,3
12/20/2020,37201,1,3
12/20/2020,37203,1,90
12/20/2020,37204,1,47
12/20/2020,37204,2,3
12/20/2020,37205,1,58
12/20/2020,37205,2,6
12/20/2020,37206,1,51
12/20/2020,37206,2,1
12/20/2020,37207,1,20
12/20/2020,37208,1,25
12/20/2020,37208,2,1
12/20/2020,37209,1,93
12/20/2020,37209,2,1
12/20/2020,37210,1,8
12/20/2020,37211,1,50
12/20/2020,37211,2,2
12/20/2020,37212,1,63
12/20/2020,37212,2,1
12/20/2020,37214,1,16
12/20/2020,37215,1,72
12/20/2020,37215,2,1
12/20/2020,37216,1,13
12/20/2020,37217,1,4
12/20/2020,37218,1,7
12/20/2020,37219,1,4
12/20/2020,37219,2,1
12/20/2020,37220,1,13
12/20/2020,37221,1,90
12/20/2020,37221,2,3
12/20/2020,37228,1,2
12/21/2020,,1,5
12/21/2020,37013,1,55
12/21/2020,37072,1,18
12/21/2020,37076,1,24
12/21/2020,37080,1,2
12/21/2020,37115,1,21
12/21/2020,37138,1,25
12/21/2020,37189,1,3
12/21/2020,37201,1,2
12/21/2020,37203,1,56
12/21/2020,37203,2,1
12/21/2020,37204,1,35
12/21/2020,37205,1,147
12/21/2020,37206,1,24
12/21/2020,37207,1,13
12/21/2020,37208,1,26
12/21/2020,37208,2,2
12/21/2020,37209,1,66
12/21/2020,37209,2,2
12/21/2020,37210,1,12
12/21/2020,37211,1,44
12/21/2020,37212,1,35
12/21/2020,37214,1,18
12/21/2020,37215,1,58
12/21/2020,37215,2,1
12/21/2020,37216,1,17
12/21/2020,37217,1,8
12/21/2020,37218,1,6
12/21/2020,37220,1,3
12/21/2020,37221,1,60
12/21/2020,37221,2,2
12/21/2020,37228,1,1
12/21/2020,37238,1,1
12/22/2020,,1,5
12/22/2020,37013,1,58
12/22/2020,37072,1,39
12/22/2020,37076,1,58
12/22/2020,37080,1,8
12/22/2020,37115,1,21
12/22/2020,37138,1,32
12/22/2020,37189,1,3
12/22/2020,37201,1,2
12/22/2020,37203,1,92
12/22/2020,37204,1,59
12/22/2020,37205,1,110
12/22/2020,37205,2,1
12/22/2020,37206,1,47
12/22/2020,37207,1,27
12/22/2020,37208,1,33
12/22/2020,37209,1,133
12/22/2020,37209,2,1
12/22/2020,37210,1,15
12/22/2020,37211,1,91
12/22/2020,37212,1,55
12/22/2020,37213,1,1
12/22/2020,37214,1,34
12/22/2020,37215,1,68
12/22/2020,37216,1,24
12/22/2020,37216,2,1
12/22/2020,37217,1,22
12/22/2020,37218,1,4
12/22/2020,37219,1,5
12/22/2020,37220,1,19
12/22/2020,37221,1,97
12/22/2020,37228,1,1
12/23/2020,,1,6
12/23/2020,37013,1,92
12/23/2020,37013,2,2
12/23/2020,37027,1,2
12/23/2020,37072,1,75
12/23/2020,37072,2,1
12/23/2020,37076,1,62
12/23/2020,37080,1,11
12/23/2020,37115,1,34
12/23/2020,37138,1,48
12/23/2020,37189,1,3
12/23/2020,37201,1,2
12/23/2020,37203,1,93
12/23/2020,37204,1,46
12/23/2020,37204,2,1
12/23/2020,37205,1,181
12/23/2020,37206,1,78
12/23/2020,37206,2,1
12/23/2020,37207,1,58
12/23/2020,37208,1,30
12/23/2020,37209,1,125
12/23/2020,37210,1,20
12/23/2020,37211,1,115
12/23/2020,37211,2,1
12/23/2020,37212,1,70
12/23/2020,37212,2,1
12/23/2020,37213,1,1
12/23/2020,37214,1,67
12/23/2020,37215,1,98
12/23/2020,37215,2,3
12/23/2020,37216,1,40
12/23/2020,37217,1,27
12/23/2020,37218,1,18
12/23/2020,37219,1,5
12/23/2020,37220,1,30
12/23/2020,37221,1,154
12/23/2020,37228,1,3
12/24/2020,,1,1
12/24/2020,37013,1,19
12/24/2020,37072,1,16
12/24/2020,37076,1,18
12/24/2020,37076,2,1
12/24/2020,37080,1,6
12/24/2020,37115,1,14
12/24/2020,37138,1,19
12/24/2020,37189,1,2
12/24/2020,37203,1,27
12/24/2020,37204,1,32
12/24/2020,37205,1,39
12/24/2020,37206,1,17
12/24/2020,37207,1,14
12/24/2020,37208,1,15
12/24/2020,37209,1,81
12/24/2020,37210,1,3
12/24/2020,37211,1,42
12/24/2020,37212,1,36
12/24/2020,37214,1,18
12/24/2020,37214,2,1
12/24/2020,37215,1,33
12/24/2020,37215,2,2
12/24/2020,37216,1,14
12/24/2020,37217,1,7
12/24/2020,37218,1,1
12/24/2020,37219,1,2
12/24/2020,37220,1,9
12/24/2020,37221,1,75
12/24/2020,37228,1,4
12/25/2020,,1,1
12/25/2020,37013,1,14
12/25/2020,37072,1,8
12/25/2020,37076,1,10
12/25/2020,37080,1,2
12/25/2020,37115,1,4
12/25/2020,37138,1,5
12/25/2020,37201,1,1
12/25/2020,37203,1,28
12/25/2020,37204,1,16
12/25/2020,37205,1,33
12/25/2020,37206,1,19
12/25/2020,37207,1,6
12/25/2020,37207,2,1
12/25/2020,37208,1,12
12/25/2020,37209,1,51
12/25/2020,37210,1,6
12/25/2020,37211,1,30
12/25/2020,37212,1,54
12/25/2020,37214,1,9
12/25/2020,37215,1,50
12/25/2020,37216,1,12
12/25/2020,37217,1,7
12/25/2020,37218,1,3
12/25/2020,37219,1,2
12/25/2020,37220,1,8
12/25/2020,37221,1,50
12/25/2020,37228,1,1
12/26/2020,,1,3
12/26/2020,37013,1,22
12/26/2020,37072,1,21
12/26/2020,37076,1,31
12/26/2020,37080,1,3
