count,VACC_DATE,DOSE_COUNT,zip
1,12/12/2020,1,37215
1,12/14/2020,2,37205
1,12/14/2020,1,37215
1,12/15/2020,1,37221
1,12/16/2020,1,37215
1,12/17/2020,1,
16,12/17/2020,1,37013
8,12/17/2020,1,37072
5,12/17/2020,1,37076
2,12/17/2020,1,37080
1,12/17/2020,1,37115
3,12/17/2020,1,37138
2,12/17/2020,1,37189
36,12/17/2020,1,37203
26,12/17/2020,1,37204
54,12/17/2020,1,37205
23,12/17/2020,1,37206
8,12/17/2020,1,37207
12,12/17/2020,1,37208
48,12/17/2020,1,37209
2,12/17/2020,1,37210
14,12/17/2020,1,37211
13,12/17/2020,1,37212
8,12/17/2020,1,37214
55,12/17/2020,1,37215
14,12/17/2020,1,37216
5,12/17/2020,1,37217
3,12/17/2020,1,37219
12,12/17/2020,1,37220
34,12/17/2020,1,37221
7,12/18/2020,1,
50,12/18/2020,1,37013
31,12/18/2020,1,37072
1,12/18/2020,2,37072
54,12/18/2020,1,37076
4,12/18/2020,1,37080
23,12/18/2020,1,37115
22,12/18/2020,1,37138
1,12/18/2020,2,37138
4,12/18/2020,1,37189
3,12/18/2020,1,37201
177,12/18/2020,1,37203
87,12/18/2020,1,37204
1,12/18/2020,2,37204
252,12/18/2020,1,37205
60,12/18/2020,1,37206
42,12/18/2020,1,37207
59,12/18/2020,1,37208
189,12/18/2020,1,37209
12,12/18/2020,1,37210
74,12/18/2020,1,37211
121,12/18/2020,1,37212
1,12/18/2020,2,37212
1,12/18/2020,1,37213
34,12/18/2020,1,37214
171,12/18/2020,1,37215
1,12/18/2020,2,37215
30,12/18/2020,1,37216
8,12/18/2020,1,37217
13,12/18/2020,1,37218
3,12/18/2020,1,37219
25,12/18/2020,1,37220
136,12/18/2020,1,37221
2,12/18/2020,1,37228
5,12/19/2020,1,
60,12/19/2020,1,37013
37,12/19/2020,1,37072
55,12/19/2020,1,37076
1,12/19/2020,2,37076
7,12/19/2020,1,37080
17,12/19/2020,1,37115
23,12/19/2020,1,37138
10,12/19/2020,1,37189
3,12/19/2020,1,37201
146,12/19/2020,1,37203
2,12/19/2020,2,37203
96,12/19/2020,1,37204
4,12/19/2020,2,37204
279,12/19/2020,1,37205
4,12/19/2020,2,37205
49,12/19/2020,1,37206
2,12/19/2020,2,37206
36,12/19/2020,1,37207
60,12/19/2020,1,37208
1,12/19/2020,2,37208
159,12/19/2020,1,37209
7,12/19/2020,2,37209
15,12/19/2020,1,37210
87,12/19/2020,1,37211
2,12/19/2020,2,37211
112,12/19/2020,1,37212
32,12/19/2020,1,37214
1,12/19/2020,2,37214
162,12/19/2020,1,37215
5,12/19/2020,2,37215
30,12/19/2020,1,37216
18,12/19/2020,1,37217
9,12/19/2020,1,37218
6,12/19/2020,1,37219
32,12/19/2020,1,37220
2,12/19/2020,2,37220
143,12/19/2020,1,37221
2,12/19/2020,2,37221
4,12/19/2020,1,37228
3,12/20/2020,1,
33,12/20/2020,1,37013
15,12/20/2020,1,37072
26,12/20/2020,1,37076
1,12/20/2020,2,37076
3,12/20/2020,1,37080
12,12/20/2020,1,37115
10,12/20/2020,1,37138
3,12/20/2020,1,37189
3,12/20/2020,1,37201
90,12/20/2020,1,37203
47,12/20/2020,1,37204
3,12/20/2020,2,37204
58,12/20/2020,1,37205
6,12/20/2020,2,37205
51,12/20/2020,1,37206
1,12/20/2020,2,37206
20,12/20/2020,1,37207
25,12/20/2020,1,37208
1,12/20/2020,2,37208
93,12/20/2020,1,37209
1,12/20/2020,2,37209
8,12/20/2020,1,37210
50,12/20/2020,1,37211
2,12/20/2020,2,37211
63,12/20/2020,1,37212
1,12/20/2020,2,37212
16,12/20/2020,1,37214
72,12/20/2020,1,37215
1,12/20/2020,2,37215
13,12/20/2020,1,37216
4,12/20/2020,1,37217
7,12/20/2020,1,37218
4,12/20/2020,1,37219
1,12/20/2020,2,37219
13,12/20/2020,1,37220
90,12/20/2020,1,37221
3,12/20/2020,2,37221
2,12/20/2020,1,37228
5,12/21/2020,1,
55,12/21/2020,1,37013
18,12/21/2020,1,37072
24,12/21/2020,1,37076
2,12/21/2020,1,37080
21,12/21/2020,1,37115
25,12/21/2020,1,37138
3,12/21/2020,1,37189
2,12/21/2020,1,37201
56,12/21/2020,1,37203
1,12/21/2020,2,37203
35,12/21/2020,1,37204
147,12/21/2020,1,37205
24,12/21/2020,1,37206
13,12/21/2020,1,37207
26,12/21/2020,1,37208
2,12/21/2020,2,37208
66,12/21/2020,1,37209
2,12/21/2020,2,37209
12,12/21/2020,1,37210
44,12/21/2020,1,37211
35,12/21/2020,1,37212
18,12/21/2020,1,37214
58,12/21/2020,1,37215
1,12/21/2020,2,37215
17,12/21/2020,1,37216
8,12/21/2020,1,37217
6,12/21/2020,1,37218
3,12/21/2020,1,37220
60,12/21/2020,1,37221
2,12/21/2020,2,37221
1,12/21/2020,1,37228
1,12/21/2020,1,37238
5,12/22/2020,1,
58,12/22/2020,1,37013
39,12/22/2020,1,37072
58,12/22/2020,1,37076
8,12/22/2020,1,37080
21,12/22/2020,1,37115
32,12/22/2020,1,37138
3,12/22/2020,1,37189
2,12/22/2020,1,37201
92,12/22/2020,1,37203
58,12/22/2020,1,37204
110,12/22/2020,1,37205
1,12/22/2020,2,37205
47,12/22/2020,1,37206
27,12/22/2020,1,37207
33,12/22/2020,1,37208
134,12/22/2020,1,37209
1,12/22/2020,2,37209
15,12/22/2020,1,37210
91,12/22/2020,1,37211
54,12/22/2020,1,37212
1,12/22/2020,1,37213
34,12/22/2020,1,37214
68,12/22/2020,1,37215
24,12/22/2020,1,37216
1,12/22/2020,2,37216
22,12/22/2020,1,37217
4,12/22/2020,1,37218
5,12/22/2020,1,37219
19,12/22/2020,1,37220
97,12/22/2020,1,37221
1,12/22/2020,1,37228
6,12/23/2020,1,
92,12/23/2020,1,37013
2,12/23/2020,2,37013
2,12/23/2020,1,37027
75,12/23/2020,1,37072
1,12/23/2020,2,37072
62,12/23/2020,1,37076
11,12/23/2020,1,37080
34,12/23/2020,1,37115
48,12/23/2020,1,37138
3,12/23/2020,1,37189
2,12/23/2020,1,37201
93,12/23/2020,1,37203
46,12/23/2020,1,37204
1,12/23/2020,2,37204
181,12/23/2020,1,37205
79,12/23/2020,1,37206
1,12/23/2020,2,37206
58,12/23/2020,1,37207
30,12/23/2020,1,37208
124,12/23/2020,1,37209
20,12/23/2020,1,37210
115,12/23/2020,1,37211
1,12/23/2020,2,37211
70,12/23/2020,1,37212
1,12/23/2020,2,37212
1,12/23/2020,1,37213
67,12/23/2020,1,37214
98,12/23/2020,1,37215
3,12/23/2020,2,37215
40,12/23/2020,1,37216
27,12/23/2020,1,37217
18,12/23/2020,1,37218
5,12/23/2020,1,37219
30,12/23/2020,1,37220
154,12/23/2020,1,37221
3,12/23/2020,1,37228
1,12/24/2020,1,
19,12/24/2020,1,37013
16,12/24/2020,1,37072
18,12/24/2020,1,37076
1,12/24/2020,2,37076
6,12/24/2020,1,37080
14,12/24/2020,1,37115
19,12/24/2020,1,37138
2,12/24/2020,1,37189
27,12/24/2020,1,37203
32,12/24/2020,1,37204
39,12/24/2020,1,37205
17,12/24/2020,1,37206
14,12/24/2020,1,37207
15,12/24/2020,1,37208
81,12/24/2020,1,37209
3,12/24/2020,1,37210
42,12/24/2020,1,37211
36,12/24/2020,1,37212
18,12/24/2020,1,37214
1,12/24/2020,2,37214
33,12/24/2020,1,37215
2,12/24/2020,2,37215
14,12/24/2020,1,37216
7,12/24/2020,1,37217
1,12/24/2020,1,37218
2,12/24/2020,1,37219
9,12/24/2020,1,37220
75,12/24/2020,1,37221
4,12/24/2020,1,37228
1,12/25/2020,1,
14,12/25/2020,1,37013
8,12/25/2020,1,37072
10,12/25/2020,1,37076
2,12/25/2020,1,37080
4,12/25/2020,1,37115
5,12/25/2020,1,37138
1,12/25/2020,1,37201
28,12/25/2020,1,37203
16,12/25/2020,1,37204
33,12/25/2020,1,37205
19,12/25/2020,1,37206
6,12/25/2020,1,37207
