Job_Title,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees,Company_Industry
Data Analyst,Tableau,Ace Technologies,16,4.099999905,1,FL,,Internet and Software
Junior Data Analyst,SQL,ThirdLove,47,4,12,CA,"Less than 10,000",Consumer Goods and Services
Data Analyst,Time Management| SQL,Optimove,,,2,NY,,
Data Analyst,SQL,Commonwealth of Massachusetts,353,3.900000095,7,MA,,Government
Data Analyst,Tableau,Ace Technologies,16,4.099999905,2,FL,,Internet and Software
Production Data Analyst,SQL,Wunderman,197,3.900000095,5,TX,,
Data Analyst,Tableau,Ace Technologies,16,4.099999905,4,FL,,Internet and Software
Research Data Analyst 2,Microsoft Powerpoint| R| Microsoft Office,UC DAVIS HEALTH SYSTEM,196,4.099999905,1,CA,,Education and Schools
Loyalty Data Analyst,Visual Basic| Marketing| SAS| SQL| Microsoft Office,Safeway Corp.,190,3.5,5,CA,,Retail
XTO Land Data Analyst,Microsoft Office| Microsoft Access,ExxonMobil,2234,4,5,TX,"10,000+",Energy and Utilities
Junior Data Analyst,SQL,ThirdLove,47,4,30,CA,"Less than 10,000",Consumer Goods and Services
Marketing Data Analyst,,Kaiser Permanente,8164,4.199999809,14,CA,"10,000+",Health Care
Data Analyst,SPSS,Columbia University,830,4.099999905,2,NY,,Education and Schools
System Data Analyst,,Bryant & Stratton College,367,3.900000095,16,NY,,Education and Schools
Business Data Analyst,Survey Design| Microsoft Powerpoint,University of Utah,430,4.199999809,1,UT,"10,000+",Education and Schools
"Data Analyst, Profiles",Project Management| R| SQL| HTML5| Excel| Python,Bloomberg,671,3.900000095,1,NJ,"10,000+","Media, News and Publishing"
eDiscovery Data Analyst,Machine Learning| Hadoop| Solr| Microsoft Office| HBase,Servient Inc,,,1,TX,,
Data Analyst (c/o 2019 Seniors!),R| Python,HopJump,,,30,MA,,
Space Data Analyst,,JLL,1887,3.799999952,1,CA,"10,000+",Real Estate
Data Analyst,Excel| SQL,Colliers International,410,3.900000095,4,GA,"10,000+",Real Estate
Data Analyst,,Ace Technologies,16,4.099999905,2,MA,,Internet and Software
Data Analyst,Microsoft Powerpoint| Data Analysis| Excel,Freedom Forever,26,3.5,21,CA,,
Research Data Analyst 3,Machine Learning| R,UC DAVIS HEALTH SYSTEM,196,4.099999905,1,CA,,Education and Schools
Data Analyst,Analysis Skills| Microsoft Powerpoint| Excel| SQL| Microsoft Office| Microsoft Access| Tableau,"Shoes For Crews, Inc.",,,30,FL,,
Data Analyst,,AVID CENTER STAFF,,,7,CA,,
DATA ANALYST,Microsoft Word| Time Management| Excel| Tableau,Tampa Family Health Centers,43,2.900000095,7,FL,,
Data Analyst,Microsoft Powerpoint| Excel| Microsoft Office| Tableau,NewYork-Presbyterian Hospital,1275,4.199999809,30,NY,"10,000+",Health Care
Data Analyst,Power BI| Excel| SQL| Tableau,FIS,1446,3.5,19,NY,"10,000+",Banks and Financial Services
Data Analyst,Google Analytics| SQL| Tableau,ThirdLove,47,4,12,CA,"Less than 10,000",Consumer Goods and Services
Healthcara Data Analyst,Data Mining| Time Management| SAS| Crystal Reports| SQL| Excel| Microsoft Access| SPSS,"Wellmore, Inc.",,,11,CT,,
Data Analyst,,Ace Technologies,16,4.099999905,5,MA,,Internet and Software
EBI Data Analyst,Microsoft Powerpoint| SAS| SQL| Microsoft Office,Arkansas Blue Cross and Blue Shield,180,4.099999905,1,AR,"Less than 10,000",Insurance
Data Analyst,Salesforce CRM| R| Tableau,Youth Policy Institute,108,4,4,CA,"Less than 10,000",Organization
Data Analyst,Microsoft Powerpoint| Oracle| Microsoft Office| SQL| Tableau,McGraw-Hill Education,237,3.900000095,11,NJ,"Less than 10,000",Education and Schools
Data Analyst,,XLA,15,3.099999905,5,USA,,
Data Analyst,R| Python,GlassDoor,,,20,MA,"10,000+","Restaurants, Travel and Leisure"
Data Analyst,Data Mining,Lubbock Heart & Surgical Hospital,12,4.400000095,7,TX,,Health Care
SCM Junior Data Analyst,Data Mining| Microsoft Powerpoint| Visio| Microsoft Office| Excel,ZEISS Group,251,3.599999905,12,KY,"10,000+",Industrial Manufacturing
SCM Junior Data Analyst,Data Mining| Microsoft Powerpoint| Visio| Microsoft Office| Excel,Zeiss,251,3.599999905,12,KY,"10,000+",Industrial Manufacturing
Pharmacy Data Analyst,Excel| SQL| Microsoft Access,"Lockton, Inc.",174,4.099999905,1,MO,,Insurance
Data Analyst,Microsoft Office,Boyd Caton Group (bcg),,,16,USA,,
Data Analyst I,Business Intelligence| Data Mining| Machine Learning| Power BI| R| Oracle| Tableau| Python,"XPO Logistics, Inc.",3484,3.299999952,15,AZ,"10,000+",Transport and Freight
Data Analyst,Data Mining| Machine Learning,GOCOOL,,,20,WA,,
"MVP, MAOP Data Analyst",Microsoft Word| Microsoft Powerpoint| Microsoft Office,BHP Engineering & Construction,,,20,TX,,
Data Analyst,,Internet Brands,,,30,CA,,
Business Data Analyst - Dodger Stadium,Microsoft Powerpoint| R| SQL| Tableau,Levy,1511,3.900000095,30,CA,,"Restaurants, Travel and Leisure"
Data Analyst,Quantitative Analysis| Data Mining| Machine Learning| R| SQL| Tableau| Java| Leadership Experience| Python,Predictive Science,,,30,USA,,
Geo Data Analyst,Microsoft Office,Cubic Corporation,379,3.799999952,5,TX,"Less than 10,000",Government
Data Analyst,JavaScript| R| Excel| SQL| Tableau,New Visions Central Office,,,19,NY,,
Systems & Data Analyst,Microsoft Powerpoint| Microsoft Office| Tableau| SharePoint| Visio,City of Minneapolis,54,3.900000095,1,MN,,Government
Marketing Sr. Data Analyst,,Kaiser Permanente,8164,4.199999809,14,CA,"10,000+",Health Care
Data Analyst,Time Management| Microsoft Powerpoint| Marketing| SAS| Tableau,Pearson,1730,3.799999952,7,USA,"10,000+",Education and Schools
Data Analyst - 1st Shift,Business Intelligence| Data Mining| Machine Learning| Power BI| R| Oracle| Tableau| Python,"XPO Logistics, Inc.",3484,3.299999952,14,IN,"10,000+",Transport and Freight
Campus Recruiting 2019 - Data Analyst,Data Mining| Business Analysis,Capgemini,6072,3.799999952,4,USA,"10,000+",Consulting and Business Services
Research Data Analyst,,University of California San Francisco,282,4.199999809,11,CA,,Education and Schools
Data Analyst,,Blade,20,5,12,CA,,
SQL Programmer / Data Analyst,Microsoft Word| Microsoft Powerpoint| PostgreSQL| Oracle| SQL| Tableau,Avkare Inc,,,22,TN,,
Data Analyst,Perl,Ace Technologies,16,4.099999905,5,NC,,Internet and Software
HAIMA - HC Data Analyst,Microsoft Powerpoint| QlikView| Visio| SAS| SQL| Tableau,The Carle Foundation,139,4.099999905,8,IL,,Health Care
Data Analyst,Data Mining| R| SAS| SQL| Tableau| Alteryx| Data Warehouse| Python,Arkatechture,,,19,ME,,
"Data Analyst, Technology",T-SQL| PL/SQL| Data Mining| Microsoft Powerpoint| SPSS| R| SAS| Python| Microsoft Office,Raymond James,480,3.900000095,1,FL,,Banks and Financial Services
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO -,,,15,MI,,
Research Data Analyst,Microsoft Office,Stanford University,530,4.300000191,6,CA,"Less than 10,000",Education and Schools
Data Analyst,R| Python| SQL,Cota,66,3.900000095,21,NY,,
Health Data Analyst,Quantitative Analysis| Data Mining| Microsoft Powerpoint| Microsoft Office,Booz Allen Hamilton,1733,3.900000095,1,MD,"10,000+",Consulting and Business Services
Data Analyst,,Ace Technologies,16,4.099999905,6,MA,,Internet and Software
Data Analyst,JavaScript| R| Excel| SQL| Tableau,New Visions for Public Schools,9,4.099999905,18,NY,,Education and Schools
Systems/Data Analyst I,SQL,Canton-Potsdam Hospital,23,2.900000095,7,NY,,Health Care
Data Analyst (JetBlue Travel Products),JavaScript| Go| Azure| Google Cloud Platform| SQL| Tableau| Java| IaaS| Python| AWS,JetBlue Airways Corporation,732,4.199999809,29,FL,"10,000+",Transport and Freight
Data Analyst - MSI,SQL| Tableau,NYSTEC,4,4.300000191,7,NY,,
Associate Data Analyst,,National Grid,575,3.900000095,26,NY,,
Item Data Analyst,Time Management| Data Analysis| Excel| SQL| Microsoft Access,The Home Depot,41290,3.799999952,3,GA,"10,000+",RetailConsumer Goods and Services
Data Analyst,,"Resolvit, LLC",29,3.599999905,9,NC,"Less than 10,000",Consulting and Business Services
Data Analyst,SharePoint| Time Management| Microsoft Powerpoint| Microsoft Office| Tableau,"Goodwill Industries International, Inc. (GII)",14245,3.599999905,14,MD,"Less than 10,000",Organization
Data Analyst,,Ace Technologies,16,4.099999905,7,MA,,Internet and Software
Associate Data Analyst,,The Hanover Insurance Group,255,3.799999952,30,MA,"Less than 10,000",Insurance
Data Analyst,Microsoft Powerpoint,Glassview Media,,,30,NY,,
Data Analyst,Hive| Ruby| Data Mining| ERP Systems| XML| SAP| R| SAS| C/C++| Minitab| SQL| JSON| Excel| Microsoft Office| SPSS| QlikView| NoSQL| MATLAB| Python,"STOBER Drives, Inc.",,,16,KY,,
Data Analyst,Database Administration| R| SQL| Excel| Microsoft Office| Microsoft Access,General Dynamics Information Technology,4573,3.799999952,18,DC,"10,000+",Aerospace and Defense
Data Analyst,Data Mining,Ace Technologies,16,4.099999905,11,MO,,Internet and Software
Data Analyst,,Advance Auto Parts,5042,3.5,16,NC,"10,000+",Auto
Data Analyst,Google Analytics| Data Analysis| R| Python| SQL| AWS,23andMe,4,4,22,CA,"Less than 10,000",Health Care
Data Analyst,Microsoft SQL Server| SQL| Tableau,Healthtronics,33,3.700000048,30,TX,,
Business Data Analyst,Oracle| Crystal Reports| Excel,DHL,323,3.900000095,6,GA,,
Sr. Data Analyst,Microsoft SQL Server| SQL| Tableau,Progrexion Holdings Inc,243,3.5,2,UT,"Less than 10,000",Consulting and Business Services
"Data Analyst, Client Intelligence",SQL| Tableau,Lytx,9,3.799999952,7,CA,"Less than 10,000",Internet and Software
Training Data Analyst,SharePoint| LMS| Excel,Southern California Edison,706,4,4,CA,"10,000+",Energy and Utilities
Data Analyst,SQL| Tableau,Fortive,,,19,MN,,
Commission Data Analyst II,Project Management| Marketing| SQL| Excel| Microsoft Office| Microsoft Access,doTERRA International,149,4.400000095,1,UT,,Consumer Goods and Services
Market Data Analyst,Analysis Skills,Intercontinental Exchange,81,3.5,26,NY,,Banks and Financial Services
Associate Data Analyst,,The Hanover Insurance Group,255,3.799999952,30,MI,"Less than 10,000",Insurance
Data Analyst,OBIEE| Power BI| Hadoop| R| Oracle| SQL| Tableau| Java| Data Warehouse| QlikView| Python,Abilene Christian University,55,4.300000191,2,TX,,Education and Schools
Data Analyst,,London Stock Exchange Group,14,4.099999905,30,NC,,
Data Analyst,Salesforce CRM| Data Analysis,Goby,,,19,IL,,
