stop,route,location,lat,lng
GREEN LN & WHITES CREEK PIKE WB,GOLDEN VALLEY,"(36.236249, -86.816722)",36.236249,-86.816722
_ 9TH AVE S & EDGEHILL AVE SB,8TH AVENUE SOUTH,"(36.142642, -86.780897)",36.142642,-86.780897
DONELSON/DELL STATION OUTBOUND,MURFREESBORO PIKE,"(36.105615, -86.672004)",36.105615,-86.672004
17TH AVE S & DOROTHY PL SB,BELMONT,"(36.137623, -86.795609)",36.137623,-86.795609
COCKRILL ST & 14TH AVE N,ST. CECILIA - CUMBERLAND,"(36.175944, -86.804242)",36.175944,-86.804242
WEDGEWOOD AVE & 18TH AVE S WB,UNIVERSITY CONNECTOR,"(36.137212, -86.796865)",36.137212,-86.796865
MAIN ST & N 7TH  ST EB,GALLATIN PIKE,"(36.174379, -86.761018)",36.174379,-86.761018
12TH AVE S & LAWRENCE AVE NB,12TH AVENUE SOUTH,"(36.129319, -86.788814)",36.129319,-86.788814
FAIN ST & LEWIS ST WB,MIDTOWN,"(36.1518, -86.757849)",36.1518,-86.757849
DOVERSIDE DR & MOORWOOD DR EB,DICKERSON ROAD,"(36.240342, -86.772854)",36.240342,-86.772854
OLD HICKORY BLVD & HANKINS ST WB,MADISON CONNECTOR,"(36.263215, -86.700124)",36.263215,-86.700124
ROWAN DR & BUENA VISTA PIKE SB,WHITES CREEK,"(36.21714, -86.819509)",36.21714,-86.819509
MCFERRIN AVE & DOUGLAS AVE NB,McFERRIN,"(36.193302, -86.753829)",36.193302,-86.753829
28TH AVE N & HERMAN ST NB,UNIVERSITY CONNECTOR,"(36.161575, -86.819214)",36.161575,-86.819214
GALLATIN PIKE & TWIN HILLS DR SB,GALLATIN PIKE,"(36.3022, -86.692787)",36.3022,-86.692787
SHAKERTOWN RD & DAISY TRL SB,ANTIOCH EXPRESS,"(36.077159, -86.597214)",36.077159,-86.597214
10TH AVE S & S DOUGLAS AVE NB,12TH AVENUE SOUTH,"(36.13031, -86.785797)",36.13031,-86.785797
DICKERSON PIKE & DOUGLAS AVE NB,DICKERSON ROAD,"(36.193984, -86.772378)",36.193984,-86.772378
HWY 70 S & HICKS RD WB,WEST END - BELLEVUE,"(36.073996, -86.925957)",36.073996,-86.925957
COUNTY HOSPITAL RD & HYDES FERRY RD NB,BORDEAUX,"(36.189409, -86.83773)",36.189409,-86.83773
BROADWAY AVE & 9TH AVE S WB,WEST END - WHITE BRIDGE,"(36.158366, -86.783544)",36.158366,-86.783544
HIGHLAND VIEW DR & JUNEAU DR EB,OLD HICKORY,"(36.206998, -86.606283)",36.206998,-86.606283
MORROW RD & GEORGIA AVE SB,HERMAN,"(36.155318, -86.8529)",36.155318,-86.8529
BATAVIA ST & 29TH AVE N WB,HERMAN,"(36.161129, -86.820279)",36.161129,-86.820279
HARDING PL & ANTIOCH PK EB,NOLENSVILLE PK BRT LITE,"(36.087226, -86.692475)",36.087226,-86.692475
NOLENSVILLE PIKE & FAIRLANE DR NB,NOLENSVILLE PK BRT LITE,"(36.064303, -86.717023)",36.064303,-86.717023
37TH AVE/SYLVAN HEIGHTS STATION INBOUND,CHARLOTTE,"(36.152679, -86.828305)",36.152679,-86.828305
CONVENTION CENTER STATION INBOUND,NOLENSVILLE PK BRT LITE,"(36.160899, -86.77444)",36.160899,-86.77444
LONE OAK RD & RICHARD JONES RD SB,BELMONT,"(36.102987, -86.808924)",36.102987,-86.808924
WOODYCREST STATION INBOUND,NOLENSVILLE PK BRT LITE,"(36.131406, -86.756197)",36.131406,-86.756197
BELL RD & COUCHVILLE PIKE NB,ANTIOCH EXPRESS,"(36.111686, -86.629992)",36.111686,-86.629992
UNA ANTIOCH PIKE & MURFREESBORO PK,ANTIOCH EXPRESS,"(36.085914, -86.649247)",36.085914,-86.649247
COUNTY HOSPITAL RD & PANORAMA DR WB,BORDEAUX,"(36.18444, -86.843029)",36.18444,-86.843029
HICKORY PLAZA DR & OCALA DR NB,TUSCULUM - McMURRAY EXPRESS,"(36.050729, -86.716016)",36.050729,-86.716016
MURPHY & 23RD AVE EB,MIDTOWN,"(36.153902, -86.807696)",36.153902,-86.807696
NASHBORO BLVD & FAIRWAY PT EB,ANTIOCH EXPRESS,"(36.089691, -86.631284)",36.089691,-86.631284
GALLATIN AVE & SEYMOUR AVE SB,GALLATIN PIKE,"(36.18571, -86.747616)",36.18571,-86.747616
JOYNER STATION OUTBOUND,NOLENSVILLE PK BRT LITE,"(36.116599, -86.74822)",36.116599,-86.74822
4TH AVE & DEADERICK ST SB,LEBANON PIKE,"(36.165893, -86.780414)",36.165893,-86.780414
DICKERSON PIKE & LEMUEL RD SB,DICKERSON ROAD,"(36.215223, -86.764056)",36.215223,-86.764056
LAFAYETTE ST & 4TH AVE S WB,AIRPORT - DOWNTOWN HOTELS,"(36.151871, -86.770982)",36.151871,-86.770982
N GALLATIN PIKE & WILEY LN SB,GALLATIN PIKE,"(36.269427, -86.710676)",36.269427,-86.710676
TRAVIS DR & PARAGON MILLS RD NB,GRASSMERE-EDMONDSON CONNECTOR,"(36.085349, -86.726967)",36.085349,-86.726967
WOODLAND ST & S 6TH ST WB,SCOTT,"(36.172749, -86.762531)",36.172749,-86.762531
BAPTIST WORLD CENTER DR & UNNAMED ST SB,WHITES CREEK,"(36.195314, -86.780671)",36.195314,-86.780671
BELL RD & MORRIS GENTRY BLVD SB,MURFREESBORO PIKE,"(36.066713, -86.636764)",36.066713,-86.636764
SHELBY AVE & S 14TH ST WB,SHELBY,"(36.170861, -86.746613)",36.170861,-86.746613
GRANNY WHITE PIKE & FERGUSON AVE NB,12TH AVENUE SOUTH,"(36.118756, -86.791055)",36.118756,-86.791055
N 16TH ST & ORDWAY PL NB,SHELBY,"(36.179699, -86.741437)",36.179699,-86.741437
MADISON TOWERS,MADISON CONNECTOR,"(36.267491, -86.699097)",36.267491,-86.699097
JONES AVE & JONES CIR SB,McFERRIN,"(36.206463, -86.758067)",36.206463,-86.758067
MURFREESBORO PIKE & REEDWOOD DR EB,MURFREESBORO PIKE,"(36.104839, -86.670128)",36.104839,-86.670128
MERIDIAN ST & WILBURN ST SB,MERIDIAN,"(36.185733, -86.768284)",36.185733,-86.768284
WEDGEWOOD AVE & 17TH AVE S EB,UNIVERSITY CONNECTOR,"(36.136868, -86.795931)",36.136868,-86.795931
LEBANON PIKE & MUNN LN EB,LEBANON PIKE,"(36.168641, -86.656204)",36.168641,-86.656204
MERIDIAN ST & TRUETLAN ST NB,MERIDIAN,"(36.179972, -86.769035)",36.179972,-86.769035
GLASTONBURY RD & BRILEY PKWY WB,THOMPSON CONNECTOR,"(36.135986, -86.7016)",36.135986,-86.7016
EDMONDSON PK & BLACKMAN NB,GRASSMERE-EDMONDSON CONNECTOR,"(36.072479, -86.732616)",36.072479,-86.732616
THOMPSON LN KROGER,THOMPSON CONNECTOR,"(36.110432, -86.724234)",36.110432,-86.724234
ELM HILL PIKE & ROYAL PKWY WB,AIRPORT - DOWNTOWN HOTELS,"(36.151738, -86.676829)",36.151738,-86.676829
MURFREESBORO PIKE & POLK AVE WB,MURFREESBORO PIKE,"(36.142242, -86.742411)",36.142242,-86.742411
WEDGEWOOD AVE & 16TH AVE WB,RIVERGATE EXPRESS,"(36.136319, -86.794443)",36.136319,-86.794443
2ND AVE N & COMMERCE ST NB,LEBANON PIKE,"(36.163214, -86.775995)",36.163214,-86.775995
NW BROAD ST & MEDICAL CENTER PKWY SB,MURFREESBORO RELAX & RIDE,"(35.855724, -86.403636)",35.855724,-86.403636
SHELBY AVE  & S 9TH ST EB,SHELBY,"(36.170613, -86.754309)",36.170613,-86.754309
MURFREESBORO PIKE & CITY HALL WB,SMYRNA - LA VERGNE EXPRESS,"(36.021807, -86.581929)",36.021807,-86.581929
MURFREESBORO PIKE & REEDWOOD DR,MURFREESBORO PIKE,"(36.104936, -86.669667)",36.104936,-86.669667
39TH AVE N & JOHN L DRIVER BLVD NB,HERMAN,"(36.165606, -86.83418)",36.165606,-86.83418
MORTON STATION INBOUND,NOLENSVILLE PK BRT LITE,"(36.10623, -86.742755)",36.10623,-86.742755
MUSIC CITY CENTRAL 4TH - BAY 15,CHARLOTTE,"(36.166322, -86.781446)",36.166322,-86.781446
21ST AVE S & W LINDEN AVE SB,HILLSBORO,"(36.127657, -86.803557)",36.127657,-86.803557
