name,total_students,econ_disadv,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,pct_econ_disadv
A. Z. Kelley Elementary,852,261,2.0,2.0,4.0,,,3.0,0.30633802816901406
Alex Green Elementary,234,153,2.0,2.0,4.0,,,2.0,0.6538461538461539
Amqui Elementary,458,246,2.0,4.0,4.0,,,4.0,0.537117903930131
Andrew Jackson Elementary,496,122,3.0,4.0,4.0,,,2.0,0.24596774193548387
Antioch High School,1915,622,1.0,0.0,4.0,2.0,3.0,0.0,0.3248041775456919
Antioch Middle,820,391,1.0,2.0,4.0,,,2.0,0.4768292682926829
Apollo Middle,835,340,0.0,0.0,2.0,,,1.0,0.40718562874251496
Bellevue Middle,631,211,2.0,0.0,2.0,,,1.0,0.33438985736925514
Bellshire Elementary,342,232,2.0,3.0,2.0,,,3.0,0.6783625730994152
Buena Vista Elementary,199,174,2.0,2.0,4.0,,,,0.8743718592964824
Cane Ridge Elementary,609,265,3.0,4.0,4.0,,,4.0,0.4351395730706076
Cane Ridge High School,1858,635,1.0,0.0,3.0,2.0,2.0,0.0,0.3417653390742734
Carter-Lawrence Elementary,263,159,2.0,2.0,4.0,,,1.0,0.6045627376425855
Chadwell Elementary,323,185,2.0,2.0,4.0,,,3.0,0.5727554179566563
Charlotte Park Elementary,513,214,2.0,2.0,2.0,,,4.0,0.4171539961013645
Cockrill Elementary,319,196,1.0,3.0,4.0,,,1.0,0.6144200626959248
Cole Elementary,761,332,2.0,2.0,4.0,,,4.0,0.43626806833114323
Cora Howe School,92,46,1.0,2.0,2.0,,,,0.5
Crieve Hall Elementary,465,68,4.0,3.0,4.0,,,4.0,0.14623655913978495
Croft Middle,750,262,1.0,0.0,1.0,,,1.0,0.34933333333333333
Cumberland Elementary,278,212,1.0,4.0,4.0,,,,0.762589928057554
Dan Mills Elementary,566,105,4.0,4.0,3.0,,,3.0,0.1855123674911661
Dodson Elementary,393,219,1.0,2.0,4.0,,,3.0,0.5572519083969466
Donelson Middle,775,369,1.0,4.0,3.0,,,1.0,0.4761290322580645
Eakin Elementary,543,92,4.0,4.0,4.0,,,4.0,0.1694290976058932
East End Preparatory School,899,413,3.0,0.0,4.0,,,3.0,0.4593993325917686
East Nashville Middle,316,178,1.0,0.0,1.0,,,,0.5632911392405063
Explore Community School,430,201,,,1.0,,,,0.46744186046511627
Fall-Hamilton Elementary,312,170,1.0,0.0,4.0,,,2.0,0.5448717948717948
Gateway Elementary,202,109,2.0,4.0,2.0,,,4.0,0.5396039603960396
Glencliff Elementary,597,200,1.0,4.0,4.0,,,2.0,0.33500837520938026
Glencliff High School,1167,439,1.0,0.0,3.0,2.0,3.0,1.0,0.37617823479005996
Glendale Elementary,442,11,4.0,4.0,4.0,,,,0.024886877828054297
Glengarry Elementary,407,191,2.0,3.0,4.0,,,3.0,0.4692874692874693
Glenview Elementary,636,281,2.0,3.0,2.0,,,4.0,0.4418238993710692
Goodlettsville Elementary,354,135,2.0,2.0,4.0,,,3.0,0.3813559322033898
Goodlettsville Middle,598,271,1.0,0.0,3.0,,,4.0,0.4531772575250836
Gower Elementary,608,160,3.0,4.0,2.0,,,3.0,0.2631578947368421
Gra-Mar Middle,344,222,1.0,2.0,4.0,,,1.0,0.6453488372093024
Granbery Elementary,751,137,4.0,4.0,3.0,,,3.0,0.18242343541944075
Harpeth Valley Elementary,700,66,4.0,3.0,4.0,,,4.0,0.09428571428571429
Hattie Cotton Elementary,239,136,2.0,3.0,2.0,,,4.0,0.5690376569037657
Haynes Middle,220,164,1.0,2.0,2.0,,,,0.7454545454545455
Haywood Elementary,624,273,1.0,2.0,3.0,,,3.0,0.4375
Head Middle,551,124,4.0,2.0,4.0,,,,0.2250453720508167
Hermitage Elementary,299,115,2.0,3.0,2.0,,,3.0,0.38461538461538464
Hickman Elementary,473,220,1.0,0.0,4.0,,,4.0,0.46511627906976744
Hillsboro High,1167,313,2.0,0.0,4.0,4.0,4.0,1.0,0.26820908311910885
Hillwood High,1091,358,1.0,0.0,3.0,4.0,4.0,1.0,0.3281393217231897
Hull-Jackson Elementary,430,197,1.0,0.0,1.0,,,,0.45813953488372094
Hunters Lane High,1333,582,1.0,0.0,3.0,4.0,3.0,0.0,0.436609152288072
Ida B. Wells Elementary,263,216,1.0,1.0,4.0,,,3.0,0.8212927756653993
Inglewood Elementary,229,144,2.0,0.0,2.0,,,,0.62882096069869
Isaac Litton Middle,469,140,2.0,1.0,3.0,,,0.0,0.29850746268656714
