Area Designation Cde,City,Crash Comments,Collision Date,CY Fatal Crashes,Latitude in Date Range,CY Fatalities,Placeholder,Invalid Lat Long - Crash in Date Range,Collision Dte,Collision Id,Collision Time Txt,County Name,Date Deleted,DEL,Date Range Collision Date,Date Range Fatal Crashes,Early Notification Type,Fatal Case Nbr Txt,ID,Intersect Road Name Suffix Txt,Intersect Road Name Txt,Intersect Road Nbr Txt,Invalid Lat Long - Fatality in Date Range,DateDiffTest,Crash Latitude,Longitude in Date Range,Crash Longitude,Master Record Number,Mile Mark Nmb,Mstr Rec Nbr Txt,Person Type,Rdwy Name Suffix Txt,Rdwy Name Txt,Rdwy Nbr Txt,Relation To Road Cde,Rollover Ind,Route Signing Cde,State Fatal #,School Bus Cde,Speed Ind,THP District,TK or BUS INV,Date Range Fatalities
00,KNOXVILLE,,1/2/2015 12:00:00 AM,1,35.984798,1,1,0,1/2/2015 5:35:00 PM,,17:35,Knox,,N,1/2/2015 12:00:00 AM,1,Par,15-0003,651F6BF9-C6B5-4C20-909A-489B6C1311D5,,,,0,1,35.984798,-83.913521,-83.913521,100716452,389.3,100716452,DRIVER,,I 40,,01,N,01,15-0003,00,,01,T,1
01,MADISONVILLE,,1/6/2015 12:00:00 AM,1,35.516548,1,1,0,1/6/2015 9:51:00 AM,,09:51,Monroe,,N,1/6/2015 12:00:00 AM,1,Par,15-0011,F9D88288-F13F-44E0-AC3F-66FE749573D4,,PARKING LOT,,0,5,35.516548,-84.359642,-84.359642,100719505,0,100719505,DRIVER,,US HWY 411,,01,N,02,15-0011,00,,01,T,1
00,KIMBALL,,1/11/2015 12:00:00 AM,1,35.04063,1,1,0,1/11/2015 11:33:00 PM,,23:33,Marion,,N,1/11/2015 12:00:00 AM,1,Par,15-0033,4645E47E-0509-48FD-B798-010FC637FC88,,,,0,10,35.04063,-85.67792,-85.67792,100725853,152.8,100725853,DRIVER,,I 24,,01,N,01,15-0033,00,,02,T,1
00,NA,,1/24/2015 12:00:00 AM,1,36.181049,1,1,0,1/24/2015 10:00:00 AM,,10:00,Carter,,N,1/24/2015 12:00:00 AM,1,Par,15-0042,307A512E-CCEF-4F2A-85E0-23159D2FEC99,,OLD HWY 19E,,0,23,36.181049,-82.022423,-82.022423,100727112,0,100727112,DRIVER,,US HWY 19E,,01,N,02,15-0042,00,,05,T,1
00,ONEIDA,CITY VERIFIED VIA EMAIL,1/24/2015 12:00:00 AM,1,36.537842,1,1,0,1/24/2015 1:26:00 AM,,01:26,Scott,,N,1/24/2015 12:00:00 AM,1,Email,15-0043,A9425FA0-C73F-4B13-88E8-FB5C593F97A5,,TIPPLE RD,,0,23,36.537842,-84.468513,-84.468513,100727585,0,100727585,PASS,,US HWY 27,,05,N,02,15-0043,00,,01,T,1
00,NA,,1/23/2015 12:00:00 AM,1,35.71162,1,1,0,1/23/2015 6:45:00 AM,,06:45,Rhea,,N,1/23/2015 12:00:00 AM,1,Par,15-0053,21EC0A2C-3BCD-4C54-9F99-EB655BB8838D,,GARLAND LN,,0,22,35.71162,-84.865112,-84.865112,100729138,0,100729138,DRIVER,,STATE HWY 68,,05,Y,03,15-0053,00,,02,T,1
01,NA,,1/29/2015 12:00:00 AM,1,36.45797,1,1,0,1/29/2015 7:50:00 AM,,07:50,Hawkins,,N,1/29/2015 12:00:00 AM,1,Par,15-0054,5A44944B-97CB-49F8-BD5F-811335CD1E0C,,CORBIN HEIGHTS DR,,0,28,36.45797,-82.946198,-82.946198,100730680,0,100730680,DRIVER,,US HWY 11W,,05,N,02,15-0054,00,,05,T,1
01,JOHNSON CITY,CITY VERIFIED VIA EMAIL,2/6/2015 12:00:00 AM,1,36.344002,1,1,0,2/6/2015 9:25:00 AM,,09:25,Washington,,N,2/6/2015 12:00:00 AM,1,Par,15-0068,8B52433C-8344-44D1-88D1-9E25579B0B2B,RUE,BROWN'S MILL ROAD,,0,36,36.344002,-82.376801,-82.376801,100733363,0,100733363,PED,HWY,US HWY 11E,US11E,01,N,06,15-0068,00,,05,T,1
00,GORDONSVILLE,,2/6/2015 12:00:00 AM,1,36.177448,1,1,0,2/6/2015 6:05:00 AM,,06:05,Smith,,N,2/6/2015 12:00:00 AM,1,Par,15-0079,8212113D-D76C-42F1-A213-2DC1FF4DCBC0,,,,0,36,36.177448,-85.938278,-85.938278,100735138,258.9,100735138,PASS,,I 40,,02,N,01,15-0079,00,,06,T,1
00,GORDONSVILLE,,2/6/2015 12:00:00 AM,1,36.177448,1,1,0,2/6/2015 6:05:00 AM,,06:05,Smith,,N,2/6/2015 12:00:00 AM,1,Par,15-0079,426C730C-7E21-48A7-A660-5F1156609674,,,,0,36,36.177448,-85.938278,-85.938278,100735138,258.9,100735138,PASS,,I 40,,02,N,01,15-0079,00,,06,T,1
