Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,0.002539,0.002542,0.002472,0.002486,0.002486,185485979
2020-05-27,0.002486,0.002529,0.002472,0.002510,0.002510,186186772
2020-05-28,0.002512,0.002559,0.002495,0.002524,0.002524,220213442
2020-05-29,0.002524,0.002549,0.002504,0.002532,0.002532,200485433
2020-05-30,0.002531,0.002626,0.002523,0.002615,0.002615,200708874
2020-05-31,0.002615,0.002617,0.002549,0.002555,0.002555,188184731
2020-06-01,0.002555,0.002662,0.002553,0.002647,0.002647,195748335
2020-06-02,0.002647,0.002655,0.002520,0.002561,0.002561,200119264
2020-06-03,0.002562,0.002598,0.002546,0.002583,0.002583,190021630
2020-06-04,0.002583,0.002669,0.002571,0.002631,0.002631,194078582
2020-06-05,0.002632,0.002634,0.002580,0.002596,0.002596,188846627
2020-06-06,0.002595,0.002606,0.002566,0.002587,0.002587,175988365
2020-06-07,0.002587,0.002609,0.002558,0.002606,0.002606,188151455
2020-06-08,0.002606,0.002607,0.002561,0.002584,0.002584,187140783
2020-06-09,0.002584,0.002587,0.002517,0.002569,0.002569,175910197
2020-06-10,0.002569,0.002595,0.002553,0.002584,0.002584,182748021
2020-06-11,0.002584,0.002602,0.002429,0.002452,0.002452,183212798
2020-06-12,0.002455,0.002533,0.002447,0.002520,0.002520,194920048
2020-06-13,0.002520,0.002541,0.002501,0.002533,0.002533,188981850
2020-06-14,0.002533,0.002554,0.002501,0.002511,0.002511,173334481
2020-06-15,0.002510,0.002516,0.002407,0.002479,0.002479,198803041
2020-06-16,0.002479,0.002530,0.002434,0.002487,0.002487,196212619
2020-06-17,0.002490,0.002492,0.002458,0.002485,0.002485,185083517
2020-06-18,0.002485,0.002493,0.002447,0.002472,0.002472,171388606
2020-06-19,0.002471,0.002472,0.002430,0.002435,0.002435,173280984
2020-06-20,0.002435,0.002466,0.002419,0.002447,0.002447,158275082
2020-06-21,0.002447,0.002478,0.002441,0.002447,0.002447,169917761
2020-06-22,0.002447,0.002495,0.002443,0.002474,0.002474,173530825
2020-06-23,0.002474,0.002492,0.002457,0.002484,0.002484,171604774
2020-06-24,0.002483,0.002497,0.002389,0.002430,0.002430,178380748
2020-06-25,0.002430,0.002433,0.002390,0.002417,0.002417,160003354
2020-06-26,0.002417,0.002427,0.002359,0.002359,0.002359,151319087
2020-06-27,0.002359,0.002379,0.002294,0.002313,0.002313,152534000
2020-06-28,0.002313,0.002361,0.002283,0.002326,0.002326,172693834
2020-06-29,0.002326,0.002341,0.002301,0.002313,0.002313,172655788
2020-06-30,0.002311,0.002340,0.002297,0.002320,0.002320,165641131
2020-07-01,0.002320,0.002376,0.002301,0.002354,0.002354,152549214
2020-07-02,0.002330,0.002382,0.002302,0.002361,0.002361,110789127
2020-07-03,0.002361,0.002366,0.002304,0.002316,0.002316,111575143
2020-07-04,0.002315,0.002340,0.002289,0.002309,0.002309,109218071
2020-07-05,0.002307,0.002327,0.002277,0.002309,0.002309,110140542
2020-07-06,0.002309,0.002624,0.002302,0.002616,0.002616,132105139
2020-07-07,0.002614,0.003259,0.002600,0.003090,0.003090,283970310
2020-07-08,0.003097,0.005420,0.003061,0.004750,0.004750,1226813925
2020-07-09,0.004732,0.005014,0.004148,0.004397,0.004397,511315527
2020-07-10,0.004394,0.004394,0.003438,0.003515,0.003515,225424869
2020-07-11,0.003528,0.003920,0.003476,0.003811,0.003811,155299369
