"playerid","birthyear","birthmonth","birthday","birthcountry","birthstate","birthcity","deathyear","deathmonth","deathday","deathcountry","deathstate","deathcity","namefirst","namelast","namegiven","weight","height","bats","throws","debut","finalgame","retroid","bbrefid","yearid","votedby","ballots","needed","votes","inducted","category","needed_note"
"aaronha01",1934,2,5,"USA","AL","Mobile",NULL,NULL,NULL,NULL,NULL,NULL,"Hank","Aaron","Henry Louis",180,"72","R","R","1954-04-13","1976-10-03","aaroh101","aaronha01",1982,"BBWAA",415,312,406,"Y","Player",NULL
"abbotji01",1967,9,19,"USA","MI","Flint",NULL,NULL,NULL,NULL,NULL,NULL,"Jim","Abbott","James Anthony",200,"75","L","L","1989-04-08","1999-07-21","abboj001","abbotji01",2005,"BBWAA",516,387,13,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1937,"BBWAA",201,151,8,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1938,"BBWAA",262,197,11,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1939,"BBWAA",274,206,11,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1942,"BBWAA",233,175,11,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1945,"BBWAA",247,186,7,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1946,"Nominating Vote",202,NULL,6,"N","Player","Top 20"
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1947,"BBWAA",161,121,22,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1948,"BBWAA",121,91,4,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1949,"BBWAA",153,115,5,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1950,"BBWAA",168,126,6,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1951,"BBWAA",226,170,12,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1952,"BBWAA",234,176,9,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1953,"BBWAA",264,198,17,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1954,"BBWAA",252,189,13,"N","Player",NULL
"adamsba01",1882,5,18,"USA","IN","Tipton",1968,7,27,"USA","MD","Silver Spring","Babe","Adams","Charles Benjamin",185,"71","L","R","1906-04-18","1926-08-11","adamb104","adamsba01",1955,"BBWAA",251,189,24,"N","Player",NULL
"adamsbo03",1921,12,14,"USA","CA","Tuolumne",1997,2,13,"USA","WA","Gig Harbor","Bobby","Adams","Robert Henry",160,"70","R","R","1946-04-16","1959-04-22","adamb103","adamsbo03",1966,"BBWAA",302,227,1,"N","Player",NULL
"adamssp01",1894,8,26,"USA","PA","Zerbe",1989,2,24,"USA","PA","Pottsville","Sparky","Adams","Earl John",151,"65","R","R","1922-09-18","1934-09-30","adams101","adamssp01",1958,"BBWAA",266,200,1,"N","Player",NULL
"adamssp01",1894,8,26,"USA","PA","Zerbe",1989,2,24,"USA","PA","Pottsville","Sparky","Adams","Earl John",151,"65","R","R","1922-09-18","1934-09-30","adams101","adamssp01",1960,"BBWAA",269,202,1,"N","Player",NULL
"ageeto01",1942,8,9,"USA","AL","Magnolia",2001,1,22,"USA","NY","New York","Tommie","Agee","Tommie Lee",195,"71","R","R","1962-09-14","1973-09-30","ageet101","ageeto01",1979,"BBWAA",432,324,0,"N","Player",NULL
"aguilri01",1961,12,31,"USA","CA","San Gabriel",NULL,NULL,NULL,NULL,NULL,NULL,"Rick","Aguilera","Richard Warren",195,"76","R","R","1985-06-12","2000-09-06","aguir001","aguilri01",2006,"BBWAA",520,390,3,"N","Player",NULL
"akerja01",1940,7,13,"USA","CA","Tulare",NULL,NULL,NULL,NULL,NULL,NULL,"Jack","Aker","Jackie Delane",190,"74","R","R","1964-05-03","1974-09-27","akerj102","akerja01",1980,"BBWAA",385,289,0,"N","Player",NULL
"alexado01",1950,9,4,"USA","AL","Cordova",NULL,NULL,NULL,NULL,NULL,NULL,"Doyle","Alexander","Doyle Lafayette",190,"75","R","R","1971-06-26","1989-09-27","alexd001","alexado01",1995,"BBWAA",460,345,0,"N","Player",NULL
"alexape01",1887,2,26,"USA","NE","Elba",1950,11,4,"USA","NE","St. Paul","Pete","Alexander","Grover Cleveland",185,"73","R","R","1911-04-15","1930-05-28","alexg102","alexape01",1936,"BBWAA",226,170,55,"N","Player",NULL
"alexape01",1887,2,26,"USA","NE","Elba",1950,11,4,"USA","NE","St. Paul","Pete","Alexander","Grover Cleveland",185,"73","R","R","1911-04-15","1930-05-28","alexg102","alexape01",1937,"BBWAA",201,151,125,"N","Player",NULL
"alexape01",1887,2,26,"USA","NE","Elba",1950,11,4,"USA","NE","St. Paul","Pete","Alexander","Grover Cleveland",185,"73","R","R","1911-04-15","1930-05-28","alexg102","alexape01",1938,"BBWAA",262,197,212,"Y","Player",NULL
"allenbe01",1939,4,16,"USA","OH","East Liverpool",NULL,NULL,NULL,NULL,NULL,NULL,"Bernie","Allen","Bernard Keith",175,"72","L","R","1962-04-10","1973-09-19","alleb105","allenbe01",1979,"BBWAA",432,324,0,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1983,"BBWAA",374,281,14,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1985,"BBWAA",395,297,28,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1986,"BBWAA",425,319,41,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1987,"BBWAA",413,310,55,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1988,"BBWAA",427,321,52,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1989,"BBWAA",447,336,35,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1990,"BBWAA",444,333,58,"N","Player",NULL
