system,system_name,school,school_name,pool,designation_ineligible,subgroup,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa
10,Anderson County,2,Anderson County High School,HS,0,All Students,3,4,4,4,4,
10,Anderson County,2,Anderson County High School,HS,0,American Indian or Alaska Native,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Asian,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Black or African American,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Economically Disadvantaged,2,4,4,4,4,
10,Anderson County,2,Anderson County High School,HS,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Hispanic,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,2,Anderson County High School,HS,0,Students with Disabilities,2,2,4,4,4,
10,Anderson County,2,Anderson County High School,HS,,Subgroups,2,3,4,4,4,
10,Anderson County,2,Anderson County High School,HS,0,Super Subgroup,2,3,,,3,
10,Anderson County,2,Anderson County High School,HS,0,White,3,4,4,4,4,
10,Anderson County,5,Andersonville Elementary,K8,0,All Students,4,4,4,,,
10,Anderson County,5,Andersonville Elementary,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,5,Andersonville Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,5,Andersonville Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,5,Andersonville Elementary,K8,0,Economically Disadvantaged,4,3,4,,,
10,Anderson County,5,Andersonville Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,5,Andersonville Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,5,Andersonville Elementary,K8,0,Students with Disabilities,,2,1,,,
10,Anderson County,5,Andersonville Elementary,K8,,Subgroups,4,2.5,2.5,,,
10,Anderson County,5,Andersonville Elementary,K8,0,Super Subgroup,4,4,,,,
10,Anderson County,5,Andersonville Elementary,K8,0,White,4,4,4,,,
10,Anderson County,10,Briceville Elementary,K8,0,All Students,2,4,4,,,
10,Anderson County,10,Briceville Elementary,K8,0,Black/Hispanic/Native American,,,,,,
