Name,Population
ANDERSON COUNTY,75129
BEDFORD COUNTY,45058
BENTON COUNTY,16489
BLEDSOE COUNTY,12876
BLOUNT COUNTY,123010
BRADLEY COUNTY,98963
CAMPBELL COUNTY,40716
CANNON COUNTY,13801
CARROLL COUNTY,28522
CARTER COUNTY,57424
CHEATHAM COUNTY,39105
CHESTER COUNTY,17131
CLAIBORNE COUNTY,32213
CLAY COUNTY,7861
COCKE COUNTY,35662
COFFEE COUNTY,52796
CROCKETT COUNTY,14586
CUMBERLAND COUNTY,56053
DAVIDSON COUNTY,626681
DECATUR COUNTY,11757
DEKALB COUNTY,18723
DICKSON COUNTY,49666
DYER COUNTY,38335
FAYETTE COUNTY,38412
FENTRESS COUNTY,17959
FRANKLIN COUNTY,41052
GIBSON COUNTY,49683
GILES COUNTY,29485
GRAINGER COUNTY,22657
GREENE COUNTY,68831
GRUNDY COUNTY,13703
HAMBLEN COUNTY,62544
HAMILTON COUNTY,336463
HANCOCK COUNTY,6819
HARDEMAN COUNTY,27253
HARDIN COUNTY,26026
HAWKINS COUNTY,56833
HAYWOOD COUNTY,18787
HENDERSON COUNTY,27769
HENRY COUNTY,32330
HICKMAN COUNTY,24690
HOUSTON COUNTY,8426
HUMPHREYS COUNTY,18538
JACKSON COUNTY,11638
JEFFERSON COUNTY,51407
JOHNSON COUNTY,18244
KNOX COUNTY,432226
LAKE COUNTY,7832
LAUDERDALE COUNTY,27815
LAWRENCE COUNTY,41869
LEWIS COUNTY,12161
LINCOLN COUNTY,33361
LOUDON COUNTY,48556
MACON COUNTY,22248
MADISON COUNTY,98294
MARION COUNTY,28237
MARSHALL COUNTY,30617
MAURY COUNTY,80956
MCMINN COUNTY,52266
MCNAIRY COUNTY,26075
MEIGS COUNTY,11753
MONROE COUNTY,44519
MONTGOMERY COUNTY,172331
MOORE COUNTY,6362
MORGAN COUNTY,21987
OBION COUNTY,31807
OVERTON COUNTY,22083
PERRY COUNTY,7915
PICKETT COUNTY,5077
POLK COUNTY,16825
PUTNAM COUNTY,72321
RHEA COUNTY,31809
ROANE COUNTY,54181
ROBERTSON COUNTY,66283
RUTHERFORD COUNTY,262604
SCOTT COUNTY,22228
SEQUATCHIE COUNTY,14112
SEVIER COUNTY,89889
SHELBY COUNTY,927644
SMITH COUNTY,19166
STEWART COUNTY,13324
SULLIVAN COUNTY,156823
SUMNER COUNTY,160645
TIPTON COUNTY,61081
TROUSDALE COUNTY,7870
UNICOI COUNTY,18313
UNION COUNTY,19109
VAN BUREN COUNTY,5548
WARREN COUNTY,39839
WASHINGTON COUNTY,122979
WAYNE COUNTY,17021
WEAKLEY COUNTY,35021
WHITE COUNTY,25841
WILLIAMSON COUNTY,202686
WILSON COUNTY,113993
