laus_code,State,County,Name,Period,LF,Employed,Unemployed,unemployment_rate
CN4700100000000,47,1,"Anderson County, TN",Mar-21,34704,33010,1694,4.9
CN4700300000000,47,3,"Bedford County, TN",Mar-21,20623,19550,1073,5.2
CN4700500000000,47,5,"Benton County, TN",Mar-21,6723,6305,418,6.2
CN4700700000000,47,7,"Bledsoe County, TN",Mar-21,4252,3947,305,7.2
CN4700900000000,47,9,"Blount County, TN",Mar-21,64098,61119,2979,4.6
CN4701100000000,47,11,"Bradley County, TN",Mar-21,52015,49347,2668,5.1
CN4701300000000,47,13,"Campbell County, TN",Mar-21,14940,13984,956,6.4
CN4701500000000,47,15,"Cannon County, TN",Mar-21,6566,6275,291,4.4
CN4701700000000,47,17,"Carroll County, TN",Mar-21,12037,11357,680,5.6
CN4701900000000,47,19,"Carter County, TN",Mar-21,23739,22414,1325,5.6
CN4702100000000,47,21,"Cheatham County, TN",Mar-21,21714,20830,884,4.1
CN4702300000000,47,23,"Chester County, TN",Mar-21,8424,8062,362,4.3
CN4702500000000,47,25,"Claiborne County, TN",Mar-21,12981,12236,745,5.7
CN4702700000000,47,27,"Clay County, TN",Mar-21,2743,2557,186,6.8
CN4702900000000,47,29,"Cocke County, TN",Mar-21,14440,13453,987,6.8
CN4703100000000,47,31,"Coffee County, TN",Mar-21,25370,24124,1246,4.9
CN4703300000000,47,33,"Crockett County, TN",Mar-21,6838,6494,344,5.0
CN4703500000000,47,35,"Cumberland County, TN",Mar-21,22627,21137,1490,6.6
CN4703700000000,47,37,"Davidson County, TN",Mar-21,401940,383381,18559,4.6
CN4703900000000,47,39,"Decatur County, TN",Mar-21,4349,4043,306,7.0
CN4704100000000,47,41,"DeKalb County, TN",Mar-21,7640,7173,467,6.1
CN4704300000000,47,43,"Dickson County, TN",Mar-21,26806,25660,1146,4.3
CN4704500000000,47,45,"Dyer County, TN",Mar-21,15731,14812,919,5.8
CN4704700000000,47,47,"Fayette County, TN",Mar-21,19099,18154,945,4.9
CN4704900000000,47,49,"Fentress County, TN",Mar-21,7437,7046,391,5.3
CN4705100000000,47,51,"Franklin County, TN",Mar-21,19447,18540,907,4.7
CN4705300000000,47,53,"Gibson County, TN",Mar-21,21724,20586,1138,5.2
CN4705500000000,47,55,"Giles County, TN",Mar-21,14416,13717,699,4.8
CN4705700000000,47,57,"Grainger County, TN",Mar-21,9546,9008,538,5.6
CN4705900000000,47,59,"Greene County, TN",Mar-21,28554,26971,1583,5.5
CN4706100000000,47,61,"Grundy County, TN",Mar-21,4977,4655,322,6.5
CN4706300000000,47,63,"Hamblen County, TN",Mar-21,28018,26647,1371,4.9
CN4706500000000,47,65,"Hamilton County, TN",Mar-21,182548,173702,8846,4.8
CN4706700000000,47,67,"Hancock County, TN",Mar-21,2141,1997,144,6.7
CN4706900000000,47,69,"Hardeman County, TN",Mar-21,9189,8514,675,7.3
CN4707100000000,47,71,"Hardin County, TN",Mar-21,10287,9693,594,5.8
CN4707300000000,47,73,"Hawkins County, TN",Mar-21,23375,22117,1258,5.4
CN4707500000000,47,75,"Haywood County, TN",Mar-21,7677,7162,515,6.7
CN4707700000000,47,77,"Henderson County, TN",Mar-21,11961,11323,638,5.3
CN4707900000000,47,79,"Henry County, TN",Mar-21,13331,12583,748,5.6
CN4708100000000,47,81,"Hickman County, TN",Mar-21,11290,10806,484,4.3
CN4708300000000,47,83,"Houston County, TN",Mar-21,3235,3001,234,7.2
CN4708500000000,47,85,"Humphreys County, TN",Mar-21,8690,8262,428,4.9
CN4708700000000,47,87,"Jackson County, TN",Mar-21,4841,4550,291,6.0
CN4708900000000,47,89,"Jefferson County, TN",Mar-21,24619,23399,1220,5.0
CN4709100000000,47,91,"Johnson County, TN",Mar-21,7852,7436,416,5.3
CN4709300000000,47,93,"Knox County, TN",Mar-21,245082,235010,10072,4.1
CN4709500000000,47,95,"Lake County, TN",Mar-21,1694,1537,157,9.3
CN4709700000000,47,97,"Lauderdale County, TN",Mar-21,9733,9075,658,6.8
CN4709900000000,47,99,"Lawrence County, TN",Mar-21,19082,18105,977,5.1
CN4710100000000,47,101,"Lewis County, TN",Mar-21,5300,5017,283,5.3
CN4710300000000,47,103,"Lincoln County, TN",Mar-21,16024,15196,828,5.2
CN4710500000000,47,105,"Loudon County, TN",Mar-21,23673,22576,1097,4.6
CN4710700000000,47,107,"McMinn County, TN",Mar-21,23213,21971,1242,5.4
CN4710900000000,47,109,"McNairy County, TN",Mar-21,8320,7709,611,7.3
CN4711100000000,47,111,"Macon County, TN",Mar-21,11169,10634,535,4.8
CN4711300000000,47,113,"Madison County, TN",Mar-21,48991,46460,2531,5.2
CN4711500000000,47,115,"Marion County, TN",Mar-21,12383,11704,679,5.5
CN4711700000000,47,117,"Marshall County, TN",Mar-21,15157,14422,735,4.8
CN4711900000000,47,119,"Maury County, TN",Mar-21,49761,47447,2314,4.7
CN4712100000000,47,121,"Meigs County, TN",Mar-21,5223,4898,325,6.2
CN4712300000000,47,123,"Monroe County, TN",Mar-21,20185,19174,1011,5.0
CN4712500000000,47,125,"Montgomery County, TN",Mar-21,86763,81825,4938,5.7
CN4712700000000,47,127,"Moore County, TN",Mar-21,3557,3427,130,3.7
CN4712900000000,47,129,"Morgan County, TN",Mar-21,7782,7327,455,5.8
CN4713100000000,47,131,"Obion County, TN",Mar-21,12209,11451,758,6.2
CN4713300000000,47,133,"Overton County, TN",Mar-21,9839,9289,550,5.6
CN4713500000000,47,135,"Perry County, TN",Mar-21,3038,2801,237,7.8
CN4713700000000,47,137,"Pickett County, TN",Mar-21,2240,2116,124,5.5
CN4713900000000,47,139,"Polk County, TN",Mar-21,7346,6960,386,5.3
CN4714100000000,47,141,"Putnam County, TN",Mar-21,35336,33615,1721,4.9
CN4714300000000,47,143,"Rhea County, TN",Mar-21,13083,12230,853,6.5
CN4714500000000,47,145,"Roane County, TN",Mar-21,23370,22097,1273,5.4
CN4714700000000,47,147,"Robertson County, TN",Mar-21,37620,36073,1547,4.1
CN4714900000000,47,149,"Rutherford County, TN",Mar-21,185581,177888,7693,4.1
CN4715100000000,47,151,"Scott County, TN",Mar-21,8173,7643,530,6.5
CN4715300000000,47,153,"Sequatchie County, TN",Mar-21,6145,5805,340,5.5
CN4715500000000,47,155,"Sevier County, TN",Mar-21,53546,50866,2680,5.0
CN4715700000000,47,157,"Shelby County, TN",Mar-21,448170,416726,31444,7.0
CN4715900000000,47,159,"Smith County, TN",Mar-21,9404,8972,432,4.6
CN4716100000000,47,161,"Stewart County, TN",Mar-21,5451,5146,305,5.6
CN4716300000000,47,163,"Sullivan County, TN",Mar-21,69669,65810,3859,5.5
CN4716500000000,47,165,"Sumner County, TN",Mar-21,103331,98879,4452,4.3
CN4716700000000,47,167,"Tipton County, TN",Mar-21,27741,26295,1446,5.2
CN4716900000000,47,169,"Trousdale County, TN",Mar-21,5473,5217,256,4.7
CN4717100000000,47,171,"Unicoi County, TN",Mar-21,7046,6548,498,7.1
CN4717300000000,47,173,"Union County, TN",Mar-21,7708,7298,410,5.3
CN4717500000000,47,175,"Van Buren County, TN",Mar-21,2021,1884,137,6.8
CN4717700000000,47,177,"Warren County, TN",Mar-21,16719,15764,955,5.7
CN4717900000000,47,179,"Washington County, TN",Mar-21,59652,56905,2747,4.6
CN4718100000000,47,181,"Wayne County, TN",Mar-21,6416,6074,342,5.3
CN4718300000000,47,183,"Weakley County, TN",Mar-21,15494,14783,711,4.6
CN4718500000000,47,185,"White County, TN",Mar-21,12085,11484,601,5.0
CN4718700000000,47,187,"Williamson County, TN",Mar-21,129484,125213,4271,3.3
CN4718900000000,47,189,"Wilson County, TN",Mar-21,77426,74347,3079,4.0
