vacc_date,zipcode,count_given,dose_nbr,protocol
2020-12-12,37215.0,1.0,1.0,two-shot
2020-12-14,37205.0,1.0,2.0,two-shot
2020-12-14,37215.0,1.0,1.0,two-shot
2020-12-15,37221.0,1.0,1.0,two-shot
2020-12-16,37215.0,1.0,1.0,two-shot
2020-12-17,37013.0,16.0,1.0,two-shot
2020-12-17,37072.0,8.0,1.0,two-shot
2020-12-17,37076.0,5.0,1.0,two-shot
2020-12-17,37080.0,2.0,1.0,two-shot
2020-12-17,37115.0,1.0,1.0,two-shot
2020-12-17,37138.0,3.0,1.0,two-shot
2020-12-17,37189.0,2.0,1.0,two-shot
2020-12-17,37203.0,36.0,1.0,two-shot
2020-12-17,37204.0,26.0,1.0,two-shot
2020-12-17,37205.0,54.0,1.0,two-shot
2020-12-17,37206.0,23.0,1.0,two-shot
2020-12-17,37207.0,8.0,1.0,two-shot
2020-12-17,37208.0,12.0,1.0,two-shot
2020-12-17,37209.0,48.0,1.0,two-shot
2020-12-17,37210.0,2.0,1.0,two-shot
2020-12-17,37211.0,14.0,1.0,two-shot
2020-12-17,37212.0,13.0,1.0,two-shot
2020-12-17,37214.0,8.0,1.0,two-shot
2020-12-17,37215.0,55.0,1.0,two-shot
2020-12-17,37216.0,14.0,1.0,two-shot
2020-12-17,37217.0,5.0,1.0,two-shot
2020-12-17,37219.0,3.0,1.0,two-shot
2020-12-17,37220.0,12.0,1.0,two-shot
2020-12-17,37221.0,34.0,1.0,two-shot
2020-12-17,,1.0,1.0,two-shot
2020-12-18,37013.0,50.0,1.0,two-shot
2020-12-18,37072.0,31.0,1.0,two-shot
2020-12-18,37072.0,1.0,2.0,two-shot
2020-12-18,37076.0,54.0,1.0,two-shot
2020-12-18,37080.0,4.0,1.0,two-shot
2020-12-18,37115.0,23.0,1.0,two-shot
2020-12-18,37138.0,22.0,1.0,two-shot
2020-12-18,37138.0,1.0,2.0,two-shot
2020-12-18,37189.0,4.0,1.0,two-shot
2020-12-18,37201.0,3.0,1.0,two-shot
2020-12-18,37203.0,177.0,1.0,two-shot
2020-12-18,37204.0,87.0,1.0,two-shot
2020-12-18,37204.0,1.0,2.0,two-shot
2020-12-18,37205.0,252.0,1.0,two-shot
2020-12-18,37206.0,60.0,1.0,two-shot
2020-12-18,37207.0,42.0,1.0,two-shot
2020-12-18,37208.0,59.0,1.0,two-shot
2020-12-18,37209.0,189.0,1.0,two-shot
2020-12-18,37210.0,12.0,1.0,two-shot
2020-12-18,37211.0,74.0,1.0,two-shot
2020-12-18,37212.0,121.0,1.0,two-shot
