address,vicinity,name,type
"2440 COUCHVILLE PIKE, Nashville","2440 Couchville Pike, Nashville",Wilson Sporting Goods Co,"['point_of_interest', 'establishment']"
"1613 Buchanan St, Nashville","1613 Buchanan Street, Nashville",Coin Cloud Bitcoin ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"1613 Buchanan St, Nashville","1613 Buchanan Street, Nashville",Discounts Mart,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
"1613 Buchanan St, Nashville","1613 Buchanan Street, Nashville",Northwest Liquors,"['liquor_store', 'point_of_interest', 'store', 'establishment']"
"306 White Bridge Pike, Nashville","306 White Bridge Pike, Nashville",Suds Up Car Wash of West Nashville,"['car_wash', 'point_of_interest', 'establishment']"
"520 MCMURRAY DR, Nashville","520 McMurray Drive, Nashville",McMurray Middle,"['secondary_school', 'school', 'point_of_interest', 'establishment']"
"1530 ANTIOCH PIKE, Antioch","1530 Antioch Pike, Antioch",Smile Direct club,"['lodging', 'point_of_interest', 'establishment']"
"1530 ANTIOCH PIKE, Antioch","1530 Antioch Pike, Antioch",SmileHaus,"['point_of_interest', 'establishment']"
"2730 Lebanon Pike, Nashville","2730 Lebanon Pike, Nashville",Ace Hardware Donelson,"['hardware_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"2730 Lebanon Pike, Nashville","2730 Lebanon Pike B, Nashville",Phat Bites,"['restaurant', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
"4617 Old Hickory Blvd, Old Hickory","4617 Old Hickory Boulevard, Old Hickory",Roadside Bar & Grill,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"2702 Dickerson Pike, Nan","2702 Dickerson Pike, Nashville",Skyline Nail & Hair Salon,"['beauty_salon', 'hair_care', 'spa', 'point_of_interest', 'establishment']"
"3103 Clarksville Pike, Nashville","3103 Clarksville Pike, Nashville",Waffle House,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"2813 Gallatin Pike, Nashville","2813 Gallatin Pike, Nashville",Auto Lot,"['car_dealer', 'point_of_interest', 'store', 'establishment']"
"719 8TH AVE S, Nashville","719 8th Avenue South, Nashville",Party Fowl,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"631 BURNETT RD, Old Hickory","631 Burnett Road, Old Hickory",AFC (Automotive Finance Corp.),"['finance', 'point_of_interest', 'establishment']"
"631 BURNETT RD, Old Hickory","631 Burnett Road, Old Hickory",ADESA Nashville,"['car_dealer', 'point_of_interest', 'store', 'establishment']"
"6614 Charlotte Pike, Nashville","6614 Charlotte Pike, Nashville",Publix Super Market at Hill Center at Nashville West,"['grocery_or_supermarket', 'bakery', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
"6614 Charlotte Pike, Nashville","6614 Charlotte Pike, Nashville",higi,"['health', 'point_of_interest', 'establishment']"
"6614 Charlotte Pike, Nashville","6614 Charlotte Pike, Nashville",Redbox,"['movie_rental', 'point_of_interest', 'store', 'establishment']"
